Inputs,Tool Outputs
"Send a summary of the \""Annual Report.pdf\"" via SMS to the management team and add key points to the existing note \""Financial Updates\"" in the \""Business\"" folder.","{'open_and_get_file_path': ['Annual Report.pdf'], 'summarize_pdf': ['$1'], 'get_phone_number': ['management team'], 'send_sms': [['$3'], '$2'], 'append_note_content': ['Financial Updates', '$2', 'Business'], 'join': []}"
"Append \""Buy groceries\"" to the shopping list note, get directions from \""Home\"" to \""Grocery Store\"" for walking in Apple Maps, and create a reminder to purchase groceries by tomorrow.","{'append_note_content': ['shopping list', 'Buy groceries', ''], 'maps_show_directions': ['Home', 'Grocery Store', 'w'], 'create_reminder': ['Purchase groceries', '2028-08-12', '', '', 0, True], 'join': []}"
"Summarize the content of the \""Annual Report.pdf\"" file, then create a note with the summary in the \""Business Reports\"" folder, and finally open \""Masa\"" in Apple Maps to plan a visit.","{'open_and_get_file_path': ['Annual Report.pdf'], 'summarize_pdf': ['$1'], 'create_note': ['Annual Report Summary', '$2', 'Business Reports'], 'maps_open_location': ['Masa'], 'join': []}"
"Open and review the \""ProjectPlan.docx\"" file, then append the key points to the \""Project Notes\"" in the \""Work\"" folder. Reply to the email thread with John, attaching the lecture minutes document, and thank him for his input.","{'open_and_get_file_path': ['lecture minutes'], 'get_email_address': ['John'], 'reply_to_email': [['$2'], 'Thank you for your input.', ['$3']], 'join': []}"
"Open the note titled \""Project Plan\"" in the \""Work\"" folder, create a performance event for next Monday from 10:00 AM to 11:00 AM with location set to \""Conference Room\"" and invite Alice and Bob, then view the location of \""Fordham University\"" on Apple Maps.","{'open_note': ['Project Plan', 'Work'], 'get_email_address': ['Bob'], 'create_calendar_event': ['Performance Event', '2023-06-28 10:00:00', '2023-06-28 11:00:00', 'Conference Room', ['$2', '$3'], '', None], 'maps_open_location': ['Fordham University'], 'join': []}"
"Send an email to Lisa with the subject \""Gathering Directions\"" and attach the list file. In the email context, include a location through the 'context' parameter and add directions from your current location to the office using walking as the mode of transportation.","{'get_email_address': ['Lisa'], 'open_and_get_file_path': ['list file'], 'maps_show_directions': ['', 'office', 'w'], 'compose_new_email': [['$1'], [], 'Gathering Directions', '$3', ['$2']], 'join': []}"
"Open the file named \""Weekly_Planner.pdf\"".","{'open_and_get_file_path': ['Weekly_Planner.pdf'], 'join': []}"
"Compose a new email to John.Doe@gmail.com and Jane.Smith@hotmail.com with the subject \""Rally Timetable\"" and attach the file \""Rally_Timetable.docx\"".","{'open_and_get_file_path': ['Rally_Timetable.docx'], 'compose_new_email': [['John.Doe@gmail.com', 'Jane.Smith@hotmail.com'], [], 'Rally Timetable', '', ['$1']], 'join': []}"
"Open the file named \""BirthdayInvites.docx\"" and send an SMS to Mom and Dad about the party venue update.","{'open_and_get_file_path': ['BirthdayInvites.docx'], 'get_phone_number': ['Dad'], 'send_sms': [['$2', '$3'], ""Hi Mom and Dad, just wanted to update you on the change of the party venue. I'll send the details shortly.""], 'join': []}"
"Create a note titled \""Match Notes\"" in the \""Work\"" folder with the list and action items discussed, and then reply to the latest email with the match recap attached.","{'create_note': ['Match Notes', 'List and action items discussed will be added here.', 'Work'], 'open_and_get_file_path': ['match recap'], 'reply_to_email': [[], 'Please find the match recap attached.', ['$2']], 'join': []}"
"Add the latest project updates to the note titled \""Quarterly Review\"" in the \""Business\"" folder.","{'append_note_content': ['Quarterly Review', 'Latest project updates will be added here.', 'Business'], 'join': []}"
"Forward the important email about tomorrow's protest to John and Jane, including the program \""FestivalSchedule.pdf\"" as an attachment. After that, send a reminder for \""Festival Preparation\"" due tomorrow at 9:00 AM and notify the team.","{'get_email_address': ['Jane'], 'open_and_get_file_path': ['FestivalSchedule.pdf'], 'forward_email': [['$1', '$2'], [], ""Important: Tomorrow's protest details"", ['$3']], 'create_reminder': ['Festival Preparation', '2024-04-09 09:00:00', 'Reminder for Festival Preparation due tomorrow at 9:00 AM.', '', 0, False], 'get_phone_number': ['team'], 'send_sms': [['$6'], ""Reminder: 'Festival Preparation' due tomorrow at 9:00 AM. Please be prepared.""], 'join': []}"
"Create a reminder to \""Buy Birthday Gift\"" due tomorrow at 5:00 PM, with high priority, and then append gift ideas for \""Alice's Birthday\"" to the note in the \""Gift Ideas\"" folder.","{'create_reminder': ['Buy Birthday Gift', '2024-04-03 17:00:00', '', '', 1, False], 'append_note_content': [""Alice's Birthday"", 'Gift ideas: ', 'Gift Ideas'], 'join': []}"
"Create a reminder called \""Dentist Appointment\"" for next Wednesday at 2:30 PM with priority 1, and then open the location of the dentist clinic in Apple Maps to plan your route.","{'create_reminder': ['Dentist Appointment', '2024-03-08 14:30:00', '', '', 1, False], 'maps_open_location': ['dentist clinic'], 'join': []}"
"Compose an email with the subject \""Tournament Directions\"" to Sarah, attach the project presentation slides, and include the location directions from your current location to \""Masa\"" in the context for her reference.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['project presentation slides'], 'maps_show_directions': ['', 'Masa', 'd'], 'compose_new_email': [['$1'], [], 'Tournament Directions', '$3', ['$2']], 'join': []}"
"Schedule a study group session for the next Friday from 3:00 PM to 5:00 PM in the library, and invite Melissa, John, and Emily to join.","{'get_email_address': ['Emily'], 'create_calendar_event': ['Study Group Session', '2024-08-24 15:00:00', '2024-08-24 17:00:00', 'the library', ['$1', '$2', '$3'], '', None], 'join': []}"
"Send a message to Alex, Lisa: Debate tomorrow at 10 AM at Cafe Royale. Add a note in the \""Debate Notes\"" folder about the reunion list and include details discussed in the SMS.","{'get_phone_number': ['Lisa'], 'create_note': ['Reunion List', 'Debate tomorrow at 10 AM at Cafe Royale.', 'Debate Notes'], 'send_sms': [['$1', '$2'], 'Debate tomorrow at 10 AM at Cafe Royale.'], 'append_note_content': ['Reunion List', 'Details to discuss: - Key debate topics - Assigned positions - Duration of each session - Break timings', 'Debate Notes'], 'join': []}"
"Compose an email to John.Doe@google.com and Mary.Smith@google.com with the subject \""Lesson Schedule\"" and attach the file \""LessonSchedule.docx.\"" Additionally, append the room location \""Conference Room A, 5th Floor\"" to the note titled \""Weekly Lessons\"" in the \""Work\"" folder.","{'open_and_get_file_path': ['LessonSchedule.docx'], 'compose_new_email': [['John.Doe@google.com', 'Mary.Smith@google.com'], [], 'Lesson Schedule', 'Please find the attached lesson schedule.', ['$1']], 'append_note_content': ['Weekly Lessons', 'Conference Room A, 5th Floor', 'Work'], 'join': []}"
"Open the note titled \""Grocery List\"" in the \""Personal\"" folder and then send a quick SMS to Mom thanking her for the recipe she shared.","{'open_note': ['Grocery List', 'Personal'], 'get_phone_number': ['Mom'], 'send_sms': [['$2'], 'Thank you for the recipe you shared, Mom!'], 'join': []}"
"Forward the selected email with the product updates to John and Jane, and then compose a new email to Sarah with the performance plan attached and a note to meet at Addison Park for the discussion.","{'get_email_address': ['Sarah'], 'open_and_get_file_path': ['performance plan'], 'forward_email': [['$1', '$2'], [], '', []], 'maps_open_location': ['Addison Park'], 'compose_new_email': [['$3'], [], 'Discussion on Performance Plan', ""Hi Sarah,\n\nPlease find the performance plan attached. Let's meet at Addison Park for the discussion."", ['$4']], 'join': []}"
"Summarize the content of the \""Research_Paper.pdf\"" file after opening it.","{'open_and_get_file_path': ['Research_Paper.pdf'], 'summarize_pdf': ['$1'], 'join': []}"
"Open directions in Apple Maps to Addison Library and add the library's hours of operation to the \""Library Info\"" note.","{'maps_show_directions': ['', 'Addison Library', 'd'], 'append_note_content': ['Library Info', 'Hours of Operation: [Hours to be added]', ''], 'join': []}"
Find the phone number for Sarah and send her a message to wish her luck for her exam tomorrow.,"{'get_phone_number': ['Sarah'], 'send_sms': [['$1'], ""Hi Sarah, just wanted to wish you good luck for your exam tomorrow! You're going to do great!""], 'join': []}"
"Create a calendar event for the team rally next Monday at 2:00 PM at \""Conference Room A\"" and invite John, Sarah, and Emily.","{'get_email_address': ['Emily'], 'create_calendar_event': ['Team Rally', '2025-04-07 14:00:00', '2025-04-07 15:00:00', 'Conference Room A', ['$1', '$2', '$3'], '', None], 'join': []}"
Forward the email to Sarah and Mark with the project proposal attached and open the presentation notes for review.,"{'get_email_address': ['Mark'], 'open_and_get_file_path': ['project proposal'], 'open_note': ['presentation notes', ''], 'forward_email': [['$1', '$2'], [], '', ['$3']], 'join': []}"
"Open the note titled \""Weekly Goals\"" in the \""Personal Development\"" folder and open the file \""PresentationSlides.key\"".","{'open_note': ['Weekly Goals', 'Personal Development'], 'open_and_get_file_path': ['PresentationSlides.key'], 'join': []}"
"Create a note titled \""Ideas\"" with brainstorming notes for the upcoming project in the \""Project Ideas\"" folder. After that, forward the email with the latest project updates to John and Emma.","{'create_note': ['Ideas', 'Brainstorming notes for the upcoming project will be added here.', 'Project Ideas'], 'get_email_address': ['Emma'], 'forward_email': [['$2', '$3'], [], '', []], 'join': []}"
"Create a reminder for the dentist appointment on Thursday at 2:30 PM, with a note \""Don't forget your insurance card,\"" and set a priority level. Then, open the note \""Grocery List\"" in the \""Shopping\"" folder.","{'create_reminder': ['Dentist Appointment', '2023-09-21 14:30:00', ""Don't forget your insurance card"", '', 1, False], 'open_note': ['Grocery List', 'Shopping'], 'join': []}"
"Add the additional study resources to the note \""Homework\"" in the \""School\"" folder and review the updated content.","{'append_note_content': ['Homework', 'Additional study resources:', 'School'], 'open_note': ['Homework', 'School'], 'join': []}"
"Summarize the content of \""Research_Paper.pdf\"" and send the summary via SMS to John and Emma. Afterwards, compose a new email to David with the subject \""Lecture Outline\"" and attach the summary PDF to the email.","{'open_and_get_file_path': ['Research_Paper.pdf'], 'summarize_pdf': ['$1'], 'get_phone_number': ['Emma'], 'send_sms': [['$3', '$4'], '$2'], 'get_email_address': ['David'], 'compose_new_email': [['$6'], [], 'Lecture Outline', 'Attached is the summary of the research paper which outlines the key points for the upcoming lecture.', ['$1']], 'join': []}"
"Open the note \""Course List\"" in the \""Business\"" folder, compose a new email to Jessica and Tom regarding the upcoming get-together, and attach the document \""CourseNotes.docx\"" to the email.","{'open_note': ['Course List', 'Business'], 'get_email_address': ['Tom'], 'open_and_get_file_path': ['CourseNotes.docx'], 'compose_new_email': [['$2', '$3'], [], 'Upcoming Get-Together', ""Dear Jessica and Tom,\n\nI'm writing to discuss our upcoming get-together. Please find attached the document 'CourseNotes.docx' for your reference."", ['$4']], 'join': []}"
Forward the reunion details email to Emily with additional information about the conference venue and attach the updated schedule document.,"{'get_email_address': ['Emily'], 'open_and_get_file_path': ['updated schedule'], 'forward_email': [['$1'], [], 'Please see the additional information about the conference venue below.\n\n[Insert conference venue details here]', ['$2']], 'join': []}"
"Open the note titled \""Project Ideas\"" in the folder \""Research,\"" append the new research findings to the note, and then send a summary update via SMS to Jane and Mark.","{'open_note': ['Project Ideas', 'Research'], 'append_note_content': ['Project Ideas', 'New research findings have been added.', 'Research'], 'get_phone_number': ['Mark'], 'send_sms': [['$3', '$4'], ""Summary Update: New research findings have been appended to the 'Project Ideas' note in the 'Research' folder.""], 'join': []}"
"Compose an email to Lisa, Bob, and Anna regarding the weekend picnic at \""Parksong Lake\"" on Saturday. Provide directions in the email from \""Home\"" to \""Parksong Lake\"" for walking.","{'get_email_address': ['Anna'], 'maps_show_directions': ['Home', 'Parksong Lake', 'w'], 'compose_new_email': [['$1', '$2', '$3'], [], 'Weekend Picnic at Parksong Lake', ""Hello everyone,\n\nLooking forward to our weekend picnic at Parksong Lake on Saturday! Please find the walking directions from 'Home' to 'Parksong Lake' below.\n\nDirections:\n$4"", []], 'join': []}"
"Forward the email to John.Doe@stanford.edu and Jane.Smith@stanford.edu, including the exhibition details and attaching the program document.","{'open_and_get_file_path': ['program document'], 'forward_email': [['John.Doe@stanford.edu', 'Jane.Smith@stanford.edu'], [], 'Please find the attached exhibition details and program document.', ['$1']], 'join': []}"
"Append the details of the restaurant reservation to the note \""Dining Plans\"" in the \""Personal\"" folder and open the location \""The Dead Rabbit\"" in Apple Maps.","{'append_note_content': ['Dining Plans', 'Restaurant reservation details: The Dead Rabbit', 'Personal'], 'maps_open_location': ['The Dead Rabbit'], 'join': []}"
"Set a reminder to \""Purchase Birthday Gift for Mom\"" by next Sunday with high priority.","{'create_reminder': ['Purchase Birthday Gift for Mom', '2023-08-27 23:59:59', '', '', 1, True], 'join': []}"
"Open the note \""Project Ideas\"" in the \""Ideas\"" folder, then create a reminder to brainstorm new concepts by Friday at 2:00 PM. Additionally, schedule a virtual performance titled \""Creative Session\"" on Thursday with invitees Emma, Sam, and Alex.","{'open_note': ['Project Ideas', 'Ideas'], 'create_reminder': ['Brainstorm new concepts', '2024-07-19 14:00:00', '', '', 0, False], 'get_email_address': ['Alex'], 'create_calendar_event': ['Creative Session', '2024-07-18 00:00:00', '2024-07-18 01:00:00', '', ['$3', '$4', '$5'], '', None], 'join': []}"
Show walking directions from your current location to 'Columbia University'.,"{'maps_show_directions': ['', 'Columbia University', 'w'], 'join': []}"
"Append the wedding outline to the note titled \""Team Exhibition Notes\"" in the \""Exhibitions\"" folder. After that, send an email to Jess and Alex with the new outline attached. In the email, include the location map for the wedding.","{'get_email_address': ['Alex'], 'open_and_get_file_path': ['wedding outline'], 'maps_open_location': ['wedding location'], 'append_note_content': ['Team Exhibition Notes', '$3', 'Exhibitions'], 'compose_new_email': [['$1', '$2'], [], 'Updated Wedding Outline', 'Please find the updated wedding outline attached. Below is the map location for the wedding.', ['$3']], 'join': []}"
